Identifiant site ,Hôte,Essence,Genre,espèce,Taxon fonge,Croisement,Phylum,Famille,Sequencage
15,PIN7-6,Pinus spp.,Cortinarius,furvoumbrinus,Cortinarius furvoumbrinus,15 furvoumbrinus Cortinarius furvoumbrinus,Basidiomycète,Cortinariaceae,a
14,PIN3-10,Pinus spp.,Russula,lepida,Russula lepida,14 lepida Russula lepida,Basidiomycète,Russulaceae,b
14,PIN3-21,Pinus spp.,Russula,lepida,Russula lepida,14 lepida Russula lepida,Basidiomycète,Russulaceae,b
7,CJ1-9,Castanea sativa,Boletus,aereus,Boletus aereus,7 aereus Boletus aereus,Basidiomycète,Boletaceae,a
14,CISTEX-1,Cistus salviifolius,Geopora,aff.closa,Geopora aff.closa,14 aff.closa Geopora aff.closa,Ascomycète,Pyronemataceae,a
14,CISTEX-2,Cistus salviifolius,Geopora,aff.closa,Geopora aff.closa,14 aff.closa Geopora aff.closa,Ascomycète,Pyronemataceae,a
14,CISTEX-7,Cistus salviifolius,Geopora,aff.closa,Geopora aff.closa,14 aff.closa Geopora aff.closa,Ascomycète,Pyronemataceae,a
14,PINX-5,Pinus spp.,Geopora,aff.closa,Geopora aff.closa,14 aff.closa Geopora aff.closa,Ascomycète,Pyronemataceae,a
14,PINX-9,Pinus spp.,Geopora,aff.closa,Geopora aff.closa,14 aff.closa Geopora aff.closa,Ascomycète,Pyronemataceae,a
14,CS3-12,Castanea sativa,Tricholoma,albobrunneum,Tricholoma albobrunneum,14 albobrunneum Tricholoma albobrunneum,Basidiomycète,Tricholomataceae,b
14,CS3-3,Castanea sativa,Tricholoma,albobrunneum,Tricholoma albobrunneum,14 albobrunneum Tricholoma albobrunneum,Basidiomycète,Tricholomataceae,a
14,CS7-11,Castanea sativa,Mycena,amicta,Mycena amicta,14 amicta Mycena amicta,Basidiomycète,Mortierellaceae,a
14,AU1-8,Arbutus unedo,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
7,CISTE2-1,Cistus salviifolius,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-10,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-11,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-12,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-14,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-4,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,b
14,CS1-6,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
14,CS1-8,Castanea sativa,Russula,amoenolens,Russula amoenolens,14 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,b
7,CS4-1,Castanea sativa,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
7,CS4-9,Castanea sativa,Russula,amoenolens,Russula amoenolens,7 amoenolens Russula amoenolens,Basidiomycète,Russulaceae,a
